                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2/09/26   9:14    ---    ---    ---    58    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   879.3  0.00   0.0     0     0.00      0       ---     ---   21.8    50   10.9   21.1   9.25  .0639     0.00     2    1      8.7    1 
 2/09/26   9:15   20.0   20.0   20.0    58   11.5   0.0   ---   0.00   0.0   ---   20.0   19.6   19.6   18.6   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.8    50   10.9   21.1   9.25  .0639     0.00    23    1    100.0    1 
 2/09/26   9:16   20.1   20.1   20.0    58   11.5   0.0   ---   0.00   0.0   ---   20.1   19.7   19.7   18.7   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.8    50   10.9   21.1   9.25  .0639     0.00    22    1     95.7    1 
 2/09/26   9:17   20.1   20.1   20.1    58   11.5   0.0   ---   0.00   0.0   ---   20.1   19.7   19.7   18.7   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.8    50   10.9   21.1   9.25  .0639     0.00    23    1    100.0    1 
 2/09/26   9:18   20.1   20.1   20.1    59   11.8   0.0   ---   0.00   0.0   ---   20.1   19.7   19.7   18.7   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.8    50   10.9   21.1   9.25  .0639     0.00    23    1    100.0    1 
 2/09/26   9:19   20.1   20.1   20.1    58   11.6   0.0   ---   0.00   0.0   ---   20.1   19.7   19.7   18.7   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.8    50   10.9   21.1   9.25  .0639     0.00    24    1    100.0    1 
 2/09/26   9:20   20.2   20.2   20.1    58   11.6   0.0   ---   0.00   0.0   ---   20.2   19.8   19.8   18.8   879.4  0.00   0.0     0     0.00      0     0.000   0.001   21.8    50   10.9   21.1   9.25  .0639     0.00    23    1    100.0    1 
 2/09/26   9:21   20.2   20.2   20.2    59   11.9   0.0   ---   0.00   0.0   ---   20.2   19.8   19.8   18.8   879.4  0.00   0.0     0     0.00      0     0.000   0.001   21.8    50   10.9   21.1   9.25  .0639     0.00    23    1    100.0    1 
 2/09/26   9:22   20.2   20.2   20.2    58   11.7   0.0   ---   0.00   0.0   ---   20.2   19.8   19.8   18.8   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.8    50   10.9   21.1   9.25  .0639     0.00    23    1    100.0    1 
 2/09/26   9:23   20.2   20.2   20.2    58   11.7   0.0   ---   0.00   0.0   ---   20.2   19.8   19.8   18.8   879.4  0.00   0.0     0     0.00      0     0.000   0.001   21.8    51   11.2   21.2   9.43  .0639     0.00    23    1    100.0    1 
 2/09/26   9:24   20.3   20.3   20.2    58   11.7   0.0   ---   0.00   0.0   ---   20.3   19.9   19.9   18.9   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.9    51   11.3   21.3   9.42  .0639     0.00    23    1    100.0    1 
 2/09/26   9:25   20.3   20.3   20.3    58   11.7   0.0   ---   0.00   0.0   ---   20.3   19.9   19.9   18.9   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.9    51   11.3   21.3   9.42  .0639     0.00    23    1    100.0    1 
 2/09/26   9:26   20.3   20.3   20.3    58   11.8   0.0   ---   0.00   0.0   ---   20.3   20.0   20.0   19.0   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.9    51   11.3   21.3   9.42  .0639     0.00    23    1    100.0    1 
 2/09/26   9:27   20.3   20.3   20.3    58   11.8   0.0   ---   0.00   0.0   ---   20.3   20.0   20.0   19.0   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.9    51   11.3   21.3   9.42  .0639     0.00    23    1    100.0    1 
 2/09/26   9:28   20.4   20.4   20.3    58   11.8   0.0   ---   0.00   0.0   ---   20.4   20.1   20.1   19.1   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.9    51   11.3   21.3   9.42  .0639     0.00    23    1    100.0    1 
 2/09/26   9:29   20.4   20.4   20.4    58   11.9   0.0   ---   0.00   0.0   ---   20.4   20.1   20.1   19.1   879.3  0.00   0.0     0     0.00      0     0.000   0.001   21.9    51   11.3   21.3   9.42  .0639     0.00    24    1    100.0    1 
 2/09/26   9:30   20.4   20.4   20.4    58   11.9   0.0   ---   0.00   0.0   ---   20.4   20.1   20.1   19.1   879.3  0.00   0.0     0     0.00      0     0.000   0.001   22.0    51   11.4   21.4   9.42  .0638     0.00    23    1    100.0    1 
 2/09/26   9:31   20.5   20.5   20.4    58   12.0   0.0   ---   0.00   0.0   ---   20.5   20.2   20.2   19.2   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.0    51   11.4   21.4   9.42  .0638     0.00    24    1    100.0    1 
 2/09/26   9:32   20.5   20.5   20.5    58   12.0   0.0   ---   0.00   0.0   ---   20.5   20.2   20.2   19.2   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.0    51   11.4   21.4   9.42  .0638     0.00    23    1    100.0    1 
 2/09/26   9:33   20.6   20.6   20.5    58   12.0   0.0   ---   0.00   0.0   ---   20.6   20.2   20.2   19.2   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.0    51   11.4   21.4   9.42  .0638     0.00    23    1    100.0    1 
 2/09/26   9:34   20.6   20.6   20.6    58   12.0   0.0   ---   0.00   0.0   ---   20.6   20.2   20.2   19.2   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.0    51   11.4   21.4   9.42  .0638     0.00    24    1    100.0    1 
 2/09/26   9:35   20.6   20.6   20.6    58   12.1   0.0   ---   0.00   0.0   ---   20.6   20.2   20.2   19.2   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.0    51   11.4   21.4   9.42  .0638     0.00    23    1    100.0    1 
 2/09/26   9:36   20.7   20.7   20.6    58   12.1   0.0   ---   0.00   0.0   ---   20.7   20.3   20.3   19.3   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.1    51   11.5   21.6   9.41  .0638     0.00    24    1    100.0    1 
 2/09/26   9:37   20.7   20.7   20.7    58   12.1   0.0   ---   0.00   0.0   ---   20.7   20.3   20.3   19.3   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.1    51   11.5   21.6   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:38   20.7   20.7   20.7    58   12.2   0.0   ---   0.00   0.0   ---   20.7   20.3   20.3   19.3   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.1    51   11.5   21.6   9.41  .0638     0.00    24    1    100.0    1 
 2/09/26   9:39   20.7   20.7   20.7    58   12.2   0.0   ---   0.00   0.0   ---   20.7   20.3   20.3   19.3   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.1    51   11.5   21.6   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:40   20.8   20.8   20.7    58   12.2   0.0   ---   0.00   0.0   ---   20.8   20.4   20.4   19.4   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.1    51   11.5   21.6   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:41   20.8   20.8   20.8    58   12.2   0.0   ---   0.00   0.0   ---   20.8   20.4   20.4   19.4   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.1    51   11.5   21.6   9.41  .0638     0.00    24    1    100.0    1 
 2/09/26   9:42   20.8   20.8   20.8    58   12.3   0.0   ---   0.00   0.0   ---   20.8   20.4   20.4   19.5   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.1    51   11.5   21.6   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:43   20.8   20.8   20.8    58   12.3   0.0   ---   0.00   0.0   ---   20.8   20.4   20.4   19.5   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.1    51   11.5   21.6   9.41  .0638     0.00    24    1    100.0    1 
 2/09/26   9:44   20.9   20.9   20.9    58   12.3   0.0   ---   0.00   0.0   ---   20.9   20.5   20.5   19.6   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.2    51   11.5   21.7   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:45   20.9   20.9   20.9    59   12.6   0.0   ---   0.00   0.0   ---   20.9   20.6   20.6   19.7   879.3  0.00   0.0     0     0.00      0     0.000   0.002   22.2    51   11.5   21.7   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:46   20.9   20.9   20.9    58   12.4   0.0   ---   0.00   0.0   ---   20.9   20.5   20.5   19.6   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.2    51   11.5   21.7   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:47   21.0   21.0   20.9    58   12.4   0.0   ---   0.00   0.0   ---   21.0   20.6   20.6   19.6   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.2    51   11.5   21.7   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:48   21.0   21.0   21.0    59   12.7   0.0   ---   0.00   0.0   ---   21.0   20.6   20.6   19.7   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.2    51   11.5   21.7   9.41  .0638     0.00    24    1    100.0    1 
 2/09/26   9:49   21.1   21.1   21.0    58   12.5   0.0   ---   0.00   0.0   ---   21.1   20.6   20.6   19.7   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.2    51   11.5   21.7   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:50   21.1   21.1   21.1    58   12.5   0.0   ---   0.00   0.0   ---   21.1   20.6   20.6   19.7   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.2    51   11.5   21.7   9.41  .0638     0.00    24    1    100.0    1 
 2/09/26   9:51   21.1   21.1   21.1    58   12.5   0.0   ---   0.00   0.0   ---   21.1   20.7   20.7   19.7   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.2    51   11.5   21.7   9.41  .0638     0.00    23    1    100.0    1 
 2/09/26   9:52   21.1   21.1   21.1    58   12.5   0.0   ---   0.00   0.0   ---   21.1   20.7   20.7   19.7   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.3    51   11.7   21.8   9.41  .0637     0.00    22    1     95.7    1 
 2/09/26   9:53   21.2   21.2   21.1    58   12.6   0.0   ---   0.00   0.0   ---   21.2   20.7   20.7   19.8   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.3    51   11.7   21.8   9.41  .0638     0.00    24    1    100.0    1 
 2/09/26   9:54   21.2   21.2   21.2    61   13.4   0.0   ---   0.00   0.0   ---   21.2   20.9   20.9   20.0   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.3    51   11.7   21.8   9.41  .0637     0.00    23    1    100.0    1 
 2/09/26   9:55   21.2   21.2   21.2    59   12.9   0.0   ---   0.00   0.0   ---   21.2   20.8   20.8   19.9   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.3    51   11.7   21.8   9.41  .0637     0.00    24    1    100.0    1 
 2/09/26   9:56   21.3   21.3   21.2    62   13.7   0.0   ---   0.00   0.0   ---   21.3   21.1   21.1   20.1   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.3    51   11.7   21.8   9.41  .0637     0.00    23    1    100.0    1 
 2/09/26   9:57   21.3   21.3   21.3    60   13.2   0.0   ---   0.00   0.0   ---   21.3   21.0   21.0   20.1   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26   9:58   21.3   21.3   21.3    58   12.7   0.0   ---   0.00   0.0   ---   21.3   20.9   20.9   20.0   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.00    24    1    100.0    1 
 2/09/26   9:59   21.3   21.3   21.3    58   12.7   0.0   ---   0.00   0.0   ---   21.3   20.9   20.9   20.0   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:00   21.4   21.4   21.3    57   12.5   0.0   ---   0.00   0.0   ---   21.4   20.9   20.9   20.0   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.03    24    1    100.0    1 
 2/09/26  10:01   21.4   21.4   21.4    57   12.5   0.0   ---   0.00   0.0   ---   21.4   20.9   20.9   20.0   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:02   21.4   21.4   21.4    58   12.8   0.0   ---   0.00   0.0   ---   21.4   21.1   21.1   20.1   879.2  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.00    24    1    100.0    1 
 2/09/26  10:03   21.4   21.4   21.4    57   12.6   0.0   ---   0.00   0.0   ---   21.4   21.0   21.0   20.1   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.00    21    1     91.3    1 
 2/09/26  10:04   21.5   21.5   21.5    57   12.6   0.0   ---   0.00   0.0   ---   21.5   21.1   21.1   20.1   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:05   21.5   21.5   21.5    57   12.6   0.0   ---   0.00   0.0   ---   21.5   21.1   21.1   20.1   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.00    24    1    100.0    1 
 2/09/26  10:06   21.6   21.6   21.5    57   12.7   0.0   ---   0.00   0.0   ---   21.6   21.2   21.2   20.2   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.0   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:07   21.6   21.6   21.6    59   13.2   0.0   ---   0.00   0.0   ---   21.6   21.3   21.3   20.3   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.1   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:08   21.6   21.6   21.6    58   13.0   0.0   ---   0.00   0.0   ---   21.6   21.3   21.3   20.3   879.0  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.1   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:09   21.6   21.6   21.6    58   13.0   0.0   ---   0.00   0.0   ---   21.6   21.3   21.3   20.3   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.1   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:10   21.7   21.7   21.7    62   14.1   0.0   ---   0.00   0.0   ---   21.7   21.6   21.6   20.7   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.1   9.40  .0637     0.00    24    1    100.0    1 
 2/09/26  10:11   21.7   21.7   21.7    59   13.4   0.0   ---   0.00   0.0   ---   21.7   21.4   21.4   20.5   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.1   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:12   21.7   21.7   21.7    58   13.1   0.0   ---   0.00   0.0   ---   21.7   21.4   21.4   20.4   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.1   9.40  .0637     0.00    24    1    100.0    1 
 2/09/26  10:13   21.8   21.8   21.7    57   12.9   0.0   ---   0.00   0.0   ---   21.8   21.4   21.4   20.5   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.1   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:14   21.8   21.8   21.8    57   12.9   0.0   ---   0.00   0.0   ---   21.8   21.4   21.4   20.5   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.4    51   11.8   22.1   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:15   21.8   21.8   21.8    57   12.9   0.0   ---   0.00   0.0   ---   21.8   21.5   21.5   20.6   879.1  0.00   0.0     0     0.00      0     0.000   0.002   22.6    51   11.9   22.2   9.40  .0637     0.00    23    1    100.0    1 
 2/09/26  10:16   21.8   21.8   21.8    57   12.9   0.0   ---   0.00   0.0   ---   21.8   21.5   21.5   20.6   879.0  0.00   0.0     0     0.00      0     0.000   0.002   22.6    51   11.9   22.2   9.40  .0637     0.00    23    1    100.0    1 
